Home,Away,Year
Chicago Fire FC,Columbus Crew SC,2002
New York Red Bulls,New England Revolution,2002
Colorado Rapids,Sporting Kansas City,2002
FC Dallas,San Jose Earthquakes,2002
LA Galaxy,DC United,2002
DC United,Chicago Fire FC,2002
Columbus Crew SC,New York Red Bulls,2002
Colorado Rapids,San Jose Earthquakes,2002
Colorado Rapids,DC United,2002
San Jose Earthquakes,New England Revolution,2002
New York Red Bulls,Columbus Crew SC,2002
FC Dallas,DC United,2002
LA Galaxy,Chicago Fire FC,2002
Sporting Kansas City,San Jose Earthquakes,2002
New York Red Bulls,Colorado Rapids,2002
FC Dallas,LA Galaxy,2002
New England Revolution,Columbus Crew SC,2002
Chicago Fire FC,New York Red Bulls,2002
DC United,Sporting Kansas City,2002
LA Galaxy,FC Dallas,2002
San Jose Earthquakes,Colorado Rapids,2002
Colorado Rapids,LA Galaxy,2002
Columbus Crew SC,DC United,2002
San Jose Earthquakes,New York Red Bulls,2002
New England Revolution,Chicago Fire FC,2002
Sporting Kansas City,FC Dallas,2002
San Jose Earthquakes,Columbus Crew SC,2002
DC United,Chicago Fire FC,2002
Sporting Kansas City,LA Galaxy,2002
New York Red Bulls,FC Dallas,2002
LA Galaxy,Chicago Fire FC,2002
New England Revolution,FC Dallas,2002
Colorado Rapids,Sporting Kansas City,2002
Columbus Crew SC,DC United,2002
San Jose Earthquakes,New York Red Bulls,2002
FC Dallas,Colorado Rapids,2002
DC United,New York Red Bulls,2002
Columbus Crew SC,San Jose Earthquakes,2002
Sporting Kansas City,LA Galaxy,2002
Chicago Fire FC,New England Revolution,2002
Colorado Rapids,New England Revolution,2002
FC Dallas,Columbus Crew SC,2002
New England Revolution,LA Galaxy,2002
Sporting Kansas City,New York Red Bulls,2002
Chicago Fire FC,San Jose Earthquakes,2002
Colorado Rapids,LA Galaxy,2002
San Jose Earthquakes,New England Revolution,2002
FC Dallas,Sporting Kansas City,2002
Chicago Fire FC,Columbus Crew SC,2002
LA Galaxy,Chicago Fire FC,2002
DC United,New England Revolution,2002
FC Dallas,Colorado Rapids,2002
San Jose Earthquakes,Sporting Kansas City,2002
Columbus Crew SC,New England Revolution,2002
New York Red Bulls,LA Galaxy,2002
Columbus Crew SC,San Jose Earthquakes,2002
Sporting Kansas City,DC United,2002
Chicago Fire FC,FC Dallas,2002
Colorado Rapids,New England Revolution,2002
DC United,Colorado Rapids,2002
Sporting Kansas City,Columbus Crew SC,2002
New York Red Bulls,Chicago Fire FC,2002
Sporting Kansas City,New England Revolution,2002
LA Galaxy,FC Dallas,2002
San Jose Earthquakes,Colorado Rapids,2002
New York Red Bulls,Colorado Rapids,2002
New York Red Bulls,New England Revolution,2002
DC United,LA Galaxy,2002
FC Dallas,Columbus Crew SC,2002
San Jose Earthquakes,Sporting Kansas City,2002
New England Revolution,Columbus Crew SC,2002
FC Dallas,New York Red Bulls,2002
Sporting Kansas City,DC United,2002
Colorado Rapids,Chicago Fire FC,2002
LA Galaxy,San Jose Earthquakes,2002
FC Dallas,Sporting Kansas City,2002
New England Revolution,DC United,2002
New York Red Bulls,Columbus Crew SC,2002
Chicago Fire FC,Colorado Rapids,2002
San Jose Earthquakes,LA Galaxy,2002
Chicago Fire FC,New York Red Bulls,2002
Sporting Kansas City,New England Revolution,2002
Columbus Crew SC,DC United,2002
FC Dallas,San Jose Earthquakes,2002
LA Galaxy,Colorado Rapids,2002
New York Red Bulls,New England Revolution,2002
Colorado Rapids,Columbus Crew SC,2002
DC United,Chicago Fire FC,2002
San Jose Earthquakes,FC Dallas,2002
Sporting Kansas City,LA Galaxy,2002
Colorado Rapids,New England Revolution,2002
Columbus Crew SC,DC United,2002
New York Red Bulls,Sporting Kansas City,2002
San Jose Earthquakes,Chicago Fire FC,2002
Chicago Fire FC,New York Red Bulls,2002
New England Revolution,DC United,2002
Sporting Kansas City,San Jose Earthquakes,2002
FC Dallas,Colorado Rapids,2002
LA Galaxy,Columbus Crew SC,2002
Columbus Crew SC,New York Red Bulls,2002
DC United,Chicago Fire FC,2002
Sporting Kansas City,FC Dallas,2002
FC Dallas,Chicago Fire FC,2002
Sporting Kansas City,DC United,2002
Colorado Rapids,Columbus Crew SC,2002
LA Galaxy,New England Revolution,2002
Columbus Crew SC,LA Galaxy,2002
Chicago Fire FC,Sporting Kansas City,2002
DC United,San Jose Earthquakes,2002
FC Dallas,New York Red Bulls,2002
LA Galaxy,Colorado Rapids,2002
Chicago Fire FC,New England Revolution,2002
Columbus Crew SC,Sporting Kansas City,2002
LA Galaxy,Sporting Kansas City,2002
San Jose Earthquakes,FC Dallas,2002
Colorado Rapids,San Jose Earthquakes,2002
Chicago Fire FC,New England Revolution,2002
FC Dallas,LA Galaxy,2002
New York Red Bulls,DC United,2002
New England Revolution,Colorado Rapids,2002
DC United,San Jose Earthquakes,2002
New England Revolution,Columbus Crew SC,2002
Sporting Kansas City,Chicago Fire FC,2002
LA Galaxy,New York Red Bulls,2002
Colorado Rapids,FC Dallas,2002
New York Red Bulls,FC Dallas,2002
New England Revolution,DC United,2002
LA Galaxy,Chicago Fire FC,2002
San Jose Earthquakes,Columbus Crew SC,2002
DC United,New York Red Bulls,2002
Columbus Crew SC,Chicago Fire FC,2002
DC United,New York Red Bulls,2002
Colorado Rapids,Sporting Kansas City,2002
New England Revolution,FC Dallas,2002
LA Galaxy,San Jose Earthquakes,2002
FC Dallas,DC United,2002
Sporting Kansas City,Colorado Rapids,2002
New England Revolution,New York Red Bulls,2002
LA Galaxy,San Jose Earthquakes,2002
Chicago Fire FC,Columbus Crew SC,2002
